name	type	units	sampling_frequency
SrC6_a	EEG	µV	5000
SrC6	EEG	µV	5000
SrC6_b	EEG	µV	5000
SrLB_a	EEG	µV	5000
SrLB	EEG	µV	5000
SrLB_b	EEG	µV	5000
SrLM_a	EEG	µV	5000
SrLM	EEG	µV	5000
SrLM_b	EEG	µV	5000
SrLF_a	EEG	µV	5000
SrLF	EEG	µV	5000
SrLF_b	EEG	µV	5000
SrF_a	EEG	µV	5000
SrF	EEG	µV	5000
SrF_b	EEG	µV	5000
SrRF_a	EEG	µV	5000
SrRF	EEG	µV	5000
SrRF_b	EEG	µV	5000
SrRM_a	EEG	µV	5000
SrRM	EEG	µV	5000
SrRM_b	EEG	µV	5000
SrRB_a	EEG	µV	5000
SrRB	EEG	µV	5000
SrRB_b	EEG	µV	5000
ECGleft	ECG	µV	5000
